index,vbm
652,-7.80561826831094
653,-6.07808441745836
654,-5.38277613414873
655,-5.5434456419659
656,-5.2051929904737
657,-5.55484116674586
658,-5.97051458012543
659,-6.83817559350725
660,-6.8209536988631
661,-7.45033250062446
662,-7.81714371347639
663,-8.98403936280225
664,-8.64617385618834
665,-5.24644950846891
666,-7.74852353521032
667,-5.62465185067322
668,-5.43087030150824
669,-5.37174724564643
670,-4.81509284105126
671,-5.26599009845764
672,-4.60834452551539
673,-4.24511825322321
674,-4.74340568569051
675,-4.92694217205733
676,-5.47060819126063
677,-4.25480162572947
678,-4.88690498221661
679,-4.84450379138494
680,-5.61828333305171
681,-3.36114386379279
682,-8.67167089997442
683,-8.84388107904876
684,-8.47675508379004
685,-9.2606680611958
686,-7.20511959056023
687,-7.28741387985046
688,-7.16911533739184
689,-6.3156114399459
690,-8.36433692366155
691,-8.27657789946083
692,-8.11577091721022
693,-8.957903624626
694,-9.09259933414988
695,-8.73904284917243
696,-5.30358287376188
697,-5.76441472355872
698,-5.24609693772631
699,-5.98908738991695
700,-4.91700633194227
701,-7.25080278603055
702,-7.58644346881303
703,-8.06327183593331
704,-5.78258896178424
705,-8.88189808593252
706,-7.34200664257843
707,-6.72773402024609
708,-5.49854335840036
709,-6.28788203881409
710,-6.18777898320555
711,-7.38841768308012
712,-6.09067420527213
713,-7.39123087996808
714,-5.51229561935954
715,-7.68250966049705
716,-5.92752581800841
717,-5.27042971495761
718,-7.58496287764192
719,-5.30347256972706
720,-6.1896363524483
721,-5.24088009850612
722,-4.73922783540444
723,-6.55645273203351
724,-6.57541948660041
725,-6.55950362606466
726,-6.73498694423884
727,-6.84151615368122
728,-4.09973458579525
729,-6.9766022791959
730,-6.40818525114999
731,-4.603826380627
732,-6.22719403580739
733,-4.21321381603494
734,-5.08556542296412
735,-5.77681040174874
736,-5.02157601895371
737,-5.5053648053314
738,-3.74580095652923
739,-9.45987774576495
740,-8.83194254455413
741,-9.10794911296808
742,-6.59457059823435
743,-6.13796560377217
744,-4.70326947923389
745,-4.22884156713857
746,-4.91950400427782
747,-4.12194737130348
748,-4.16425453025995
749,-8.36512824956283
750,-7.26328787193926
751,-6.18640500890904
752,-5.38694585449264
753,-6.43896696994358
754,-6.91181798531966
755,-6.27294249192889
756,-4.794583853262
757,-5.89345089784965
758,-4.35342028969843
759,-5.97167636212952
760,-7.78708695462165
761,-5.45338058614794
762,-7.33171865006211
763,-9.43109827594259
764,-9.67230476767661
765,-9.75882591526999
766,-3.69207680371566
767,-6.70813451218282
768,-7.1304339197
769,-7.67281739798678
770,-6.16838203802745
771,-9.37502715496519
772,-7.00599567643053
773,-7.93305820689223
774,-7.75077570134539
775,-7.96143937194843
776,-5.64226660845539
777,-4.46883121245508
778,-4.26601001680812
779,-6.84233980262038
780,-4.73354022978408
781,-5.61476559972838
782,-7.98646762816502
783,-5.63412841767043
784,-5.65968287885427
785,-7.54606357554488
786,-8.1879373850952
787,-6.00882141842463
788,-6.00756516986387
789,-5.70219347542261
790,-6.66518974198214
791,-6.27440804106547
792,-6.43865989900927
793,-5.91081190363843
794,-6.51133103965129
795,-6.22195259283281
796,-10.149222706741
797,-10.3572838729894
798,-9.13524639531463
799,-9.96077383585802
800,-11.7416221299816
801,-4.48470069270395
802,-6.27806058103491
803,-6.66975799516772
804,-4.80574772016523
805,-5.47165668009851
806,-6.56760651952136
807,-7.24284804463936
808,-7.14107872411694
809,-6.71845225317835
810,-7.67906702450861
811,-8.0256624508905
812,-6.13418844065198
813,-6.74261369752756
814,-6.97666054734687
815,-5.6521160887426
816,-6.06020602704731
817,-6.53993909443075
818,-5.51326305393657
819,-5.46033402862825
820,-5.49940781137514
821,-4.47726652000463
822,-4.79164487756785
823,-5.55870197158108
824,-5.88783891435291
825,-6.00397313697034
826,-8.04277815761382
827,-9.66405034843536
828,-5.30950874646104
829,-6.90125959582128
830,-6.27364832144217
831,-6.57729568588949
832,-6.43457880698941
833,-6.54837588540596
834,-5.12542188393476
835,-6.24565900992384
836,-5.10165722702598
837,-8.13607955340925
838,-6.49756210889657
839,-6.57413548647316
840,-9.9125562057185
841,-5.09079405370492
842,-5.66359635257096
843,-4.59988360853935
844,-5.32455798568255
845,-4.80695575445336
846,-6.78877080057205
847,-6.56418672343822
848,-5.37810552051492
849,-9.52191515210392
850,-6.67784135663391
851,-6.42498106097475
852,-6.97128982703275
853,-6.19176675890038
854,-5.73470587398887
855,-5.50261785430652
856,-8.94138521176557
857,-7.00963374288434
858,-6.33778470090841
859,-7.05193627989035
860,-7.39041122176935
861,-7.52084302679775
862,-6.39371243340836
863,-8.06159944923788
864,-7.78669886176567
865,-8.94703370148317
866,-9.21312615522229
867,-6.25514851808201
868,-5.54560386864922
869,-5.33351640137952
870,-5.7638192949128
871,-6.35522461934758
872,-6.35197762781201
873,-6.44820033649399
874,-6.07001406796275
875,-7.42747206125591
876,-5.79622103905597
877,-5.76353397115187
878,-7.083719917512
879,-6.12927988513544
880,-9.09533305522912
881,-8.88799801132317
882,-6.6752750559767
883,-6.48671420463331
884,-5.27750233622239
885,-5.53393293090088
886,-5.31082211386495
887,-4.76875870413654
888,-6.47946988862587
889,-6.76965947557412
890,-4.51669656505168
891,-6.80218461218127
892,-5.2301773334883
893,-5.60160420394019
894,-4.36524272655852
895,-4.47572749753105
896,-7.34183860006656
897,-6.53327811342784
898,-5.31932151260161
899,-7.97908397766843
900,-7.23422327378631
901,-6.66107378098158
902,-4.98861380381888
903,-5.83946108711984
904,-5.74508910685422
905,-5.63156323079606
906,-6.46640025107664
907,-5.85386058772341
908,-5.62909520430155
909,-2.73970680543902
910,-5.98826207099851
911,-8.05230431395984
912,-6.2057816239438
913,-7.58349844036342
914,-6.99311251718572
915,-6.36275055184873
916,-7.19774257616493
917,-7.38572984846291
918,-6.32825505380432
919,-5.63654757670722
920,-5.75044047594272
921,-5.95098465380096
922,-11.2509832914226
923,-4.21271472810844
924,-5.43805574980094
925,-4.85136279354411
926,-5.30712593214735
927,-5.39950167034234
928,-6.86773004328951
929,-5.91509516673478
930,-9.91910260346259
931,-4.43579695284798
932,-8.90032656234537
933,-5.30914544915177
934,-4.34364306729434
935,-5.1835994944949
936,-4.38848458805755
937,-5.48365989991617
938,-4.55714323468432
939,-7.88753884642896
940,-6.98686219729417
941,-5.91068041132626
942,-5.36374020794295
943,-5.40015358900175
944,-6.55316060577763
945,-6.30687951221909
946,-5.20015704758498
947,-5.34653817443844
948,-4.8002134927859
949,-7.27997077386311
950,-6.47955045145464
951,-6.16318203558344
952,-6.8794461354497
953,-7.31641666510484
954,-5.19179790956674
955,-4.70284593076709
956,-4.61363183669548
957,-7.5917171731497
958,-4.64287290454802
959,-9.02402714963121
960,-5.10872104245546
961,-4.81776441613309
962,-9.95905071294263
963,-7.25109948097787
964,-4.08463113850222
965,-5.40554990603176
966,-6.42244418515587
967,-5.74023410807611
968,-4.58672184334282
969,-7.44580323939005
970,-6.65554901079365
971,-5.41967923769454
972,-3.23117151293249
973,-9.46372684291109
974,-9.73294484147834
975,-9.39355425514724
976,-7.15034597882858
977,-7.29526203148748
978,-6.10412070291449
979,-6.09298552255044
980,-5.73901287857123
981,-6.50051540973841
982,-7.83393398663995
983,-5.50558567330887
984,-4.91037634068511
985,-4.75922023776074
986,-5.67268120551884
987,-4.24071778431759
988,-6.44544117162013
989,-7.4895741169736
990,-4.07001290842571
991,-4.40395679575774
992,-7.87448134580429
993,-7.52531471461162
994,-6.80094243995559
995,-5.53405968247848
996,-5.20690996274302
997,-6.16820631226772
998,-5.43923715472307
999,-5.10588936815433
1000,-4.66113301766578
1001,-6.16542853037264
1002,-5.21125238706019
1003,-6.31996971263281
1004,-7.22924485746159
1005,-7.0259702987211
1006,-7.80142555386537
1007,-6.4582874463982
1008,-7.37329809028412
1009,-4.85151232979098
1010,-5.92048890959458
1011,-4.67955030837113
1012,-6.54824411037161
1013,-6.73034447975471
1014,-6.48737298562395
1015,-6.34485612127766
1016,-6.14977346587462
1017,-6.18510177624312
1018,-4.84798663201777
1019,-6.76080559968055
1020,-8.29736574286025
1021,-6.32091859584825
1022,-5.95125633915938
1023,-4.88636323073953
1024,-6.75123337205621
1025,-6.79911974600281
1026,-6.73660251079755
1027,-9.5496072900978
1028,-8.60058644072464
1029,-6.07371614762004
1030,-5.78334522008022
1031,-6.12203559583318
1032,-4.69197321628739
1033,-5.9436349592009
1034,-6.8194994445167
1035,-8.03459209768815
1036,-5.97407842708041
1037,-5.95285262027474
1038,-5.65651362459966
1039,-5.38770643181397
1040,-3.88625080218083
1041,-4.6325610451423
1042,-5.44482840596262
1043,-7.47512806241495
1044,-7.32645324222089
1045,-6.97200999701867
1046,-6.5888901748201
1047,-5.8860203802091
1048,-6.79364473224286
1049,-5.6501047782849
1050,-5.63420570366331
1051,-7.31843545535467
1052,-6.42963692847632
1053,-5.27426239586167
1054,-7.34177354683913
1055,-5.10513585973293
1056,-6.3076694617326
1057,-5.35417552007687
1058,-6.19681539538477
1059,-7.00274401900362
1060,-6.55814494164098
1061,-6.29072902338371
1062,-7.31560635614453
1063,-7.05060457452393
1064,-6.14193107394997
1065,-5.1187855515922
1066,-4.63679105206826
1067,-3.88112162026765
1068,-5.01411460597571
1069,-9.41218786333632
1070,-9.19266490255498
1071,-5.6281331397876
1072,-4.92278319058649
1073,-7.2845562970532
1074,-6.58524379642147
1075,-5.37852359325375
1076,-5.52546562454816
1077,-4.8454531654547
1078,-4.46738696852919
1079,-5.75892916262116
1080,-6.24245123535094
1081,-7.03975226642551
1082,-6.33048187138547
1083,-7.64125433966953
1084,-7.08734994121755
1085,-3.63860960093344
1086,-5.7696042593338
1087,-6.93916631976931
1088,-5.6967293406013
1089,-5.26223895017003
1090,-6.60533857693437
1091,-5.90004639882365
1092,-6.50478848908476
1093,-6.05703469499405
1094,-7.02095245927672
1095,-6.75991971420737
1096,-6.77976167105796
1097,-6.76852580387021
1098,-4.82033083186842
1099,-6.05465632550103
1100,-8.18991309925111
1101,-8.09779400527997
1102,-7.23517621199557
1103,-9.5465836282518
1104,-6.93490795285892
1105,-6.38425136774894
1106,-5.63006214407539
1107,-5.46301218886228
1108,-7.06983110850165
1109,-7.02056563484215
1110,-6.23051693302942
1111,-8.4080542097036
1112,-4.60612419783628
1113,-6.35459938747615
1114,-4.36984224698559
1115,-6.29827616121492
1116,-6.61745101249309
1117,-6.72057957764192
1118,-6.29389039950227
1119,-4.43347948872358
1120,-6.6889020808716
1121,-6.30413581111611
1122,-7.33591767291867
1123,-7.28607635628638
1124,-6.78262053654617
1125,-6.31950127211205
1126,-6.21265478723032
1127,-7.68672187210718
1128,-7.38010847717516
1129,-7.30276331385088
1130,-7.01227277666778
1131,-6.39189815161976
1132,-6.28710287708792
1133,-3.47200302873824
1134,-8.98757124387013
1135,-5.29600383200189
1136,-7.23004749026751
1137,-7.32810468037793
1138,-6.62725163872622
1139,-6.63424145380669
1140,-4.73420473643178
1141,-7.9097525060521
1142,-4.7320120565801
1143,-7.04858019964685
1144,-6.2323156823877
1145,-7.02308338864037
1146,-5.92513110214794
1147,-6.30914099666976
1148,-7.43769339687224
1149,-6.86870836810672
1150,-5.8339674301549
1151,-5.15731876739657
1152,-4.66177522799143
1153,-6.04048486879112
1154,-4.49129745624799
1155,-5.6175542742775
1156,-6.31318670957425
1157,-6.28270853970073
1158,-5.44769065807355
1159,-6.91088975341164
1160,-6.32280071495071
1161,-5.7613376192824
1162,-6.57021215776554
1163,-6.1413540228058
1164,-12.3176104988892
1165,-8.00481355972189
1166,-8.24749930040249
1167,-9.37083740710318
1168,-9.03995562495448
1169,-11.6417929643091
1170,-6.82527798083651
1171,-6.90858623098941
1172,-6.7000317756768
1173,-7.1692582508254
1174,-6.45728960587807
1175,-6.27607804096152
1176,-5.79077064570211
1177,-6.34002236123976
1178,-6.47948483429619
1179,-6.04069164825487
1180,-5.4480684972727
1181,-5.44938963110218
1182,-7.01973702208362
1183,-6.46492335981749
1184,-5.41190427237965
1185,-5.61228935811963
1186,-7.41272811990436
1187,-6.78077545502072
1188,-5.67658987353776
1189,-3.50160425914216
1190,-3.87823967328374
1191,-6.29535257802163
1192,-5.91790078842937
1193,-7.0469946993421
1194,-6.43745416195449
1195,-6.09644106984484
1196,-5.43496684372812
1197,-5.51598829573939
1198,-6.77891097707707
1199,-10.0196740368225
1200,-5.9518059352033
1201,-1.89836643364571
1202,-2.1059607441449
1203,-3.69366036613702
1204,-4.78187986439608
1205,-5.52567151178547
1206,-6.40194143333369
1207,-5.90269505864958
1208,-5.05776104704023
1209,-7.20100151018997
1210,-7.36109090632125
1211,-6.5196111501861
1212,-6.74068712027325
1213,-7.45908968173145
1214,-7.36610612376324
1215,-7.37110145324426
1216,-6.40953432359972
1217,-6.87646040655933
1218,-4.51018091064332
1219,-5.15753417442952
1220,-5.68373706171643
1221,-4.93902361644426
1222,-4.57114343880904
1223,-4.53157727357436
1224,-4.72244206209642
1225,-4.63491381371776
1226,-5.21596832716753
1227,-6.53575468495738
1228,-4.9859775640986
1229,-5.33149435097626
1230,-5.6540869148216
1231,-6.02988033142956
1232,-5.93977391032981
1233,-6.75373667735883
1234,-2.82492262966741
1235,-6.2480354847985
1236,-8.28026764534058
1237,-3.03159944900413
1238,-6.40263327636533
1239,-6.12252088620819
1240,-6.63288067978384
1241,-5.99008370583323
1242,-5.59398715792698
1243,-3.87252529163355
1244,-4.87297044981928
1245,-6.31767278374484
1246,-6.93755719259367
1247,-9.63064623842773
